min tour length; max tour length
4553; 6401
4553; 6413
4553; 6046
3971; 5890
3971; 5886
3971; 5864
3971; 5701
3696; 5672
3696; 5827
3696; 5554
3696; 5554
3696; 5507
3696; 5192
3696; 5103
3696; 5628
3696; 5217
3696; 5588
3594; 5246
3594; 5102
3594; 5409
3594; 5413
3545; 5241
3515; 5093
3515; 5170
3515; 5357
3515; 5410
3515; 4863
3515; 4886
3515; 5261
3515; 5240
3515; 5094
3515; 4868
3515; 4843
3358; 5199
3358; 5214
3358; 4889
3358; 5147
3235; 4856
3235; 5364
3235; 5109
3235; 5092
3235; 5500
3235; 5125
3235; 5070
3235; 5059
3235; 5177
3235; 4985
3235; 5900
3235; 5015
3235; 5014
3235; 5142
3235; 4951
3235; 4745
3235; 4889
3235; 5410
3235; 5238
3235; 5117
3235; 4988
3235; 5521
3235; 5278
3120; 5455
3120; 5160
3120; 5295
3120; 5247
3120; 5521
3120; 5167
3115; 5418
3115; 4900
3115; 4918
3115; 4916
3115; 5129
3115; 4821
3115; 5363
3115; 4895
3068; 4872
3068; 5085
3068; 5126
3068; 5004
3068; 4962
3068; 4936
3068; 4678
3068; 4707
3068; 5711
2798; 4748
2798; 5260
2798; 5768
2798; 6228
2798; 5559
2798; 5403
2763; 5369
2763; 5253
2763; 5194
2763; 5474
2763; 5519
2763; 5108
2763; 5018
2763; 4869
2763; 5091
2763; 5172
2763; 4856
2763; 4752
2753; 4717
2753; 5332
2753; 4664
2753; 4911
2753; 4866
2753; 4946
2753; 4820
2753; 4743
2753; 4662
2753; 4535
2753; 4509
2753; 4307
2753; 4675
2753; 4628
2753; 4882
2753; 4959
2753; 4327
2753; 4721
2753; 5092
2753; 4921
2753; 4793
2753; 5002
2753; 5154
2753; 4774
2647; 5287
2439; 5229
2439; 5212
2439; 4998
2439; 4985
2439; 5202
2439; 5479
2439; 4652
2439; 4608
2439; 5122
2439; 5155
2439; 5100
2439; 4987
2439; 4977
2439; 4833
2439; 5148
2439; 5076
2439; 5012
2439; 4845
2439; 5012
2439; 4763
2439; 4742
2439; 5296
2439; 4858
2400; 4510
2400; 4435
2400; 4570
2400; 4717
2400; 4980
2400; 4651
2400; 4351
2400; 4275
2400; 4489
2400; 4551
2400; 4903
2400; 4563
2400; 5216
2400; 4809
2400; 4385
2400; 4972
2400; 4781
2400; 5010
2400; 5402
2400; 4543
2400; 5040
2400; 4498
2400; 4445
2400; 4623
2400; 4475
2400; 5342
2400; 4834
2400; 4854
2400; 4650
2400; 4810
2400; 5096
2400; 4760
2400; 5046
2400; 5228
2400; 4766
2400; 4606
2400; 4795
2400; 4714
2400; 4945
2400; 4712
2400; 5048
2400; 4580
2400; 4870
2400; 5024
2400; 4627
2400; 4844
2400; 5733
2400; 5197
2400; 5022
2400; 4972
2400; 5744
2400; 5977
2400; 5076
2400; 4706
2400; 5005
2400; 4910
2400; 4922
2400; 5060
2400; 4965
2400; 4932
2400; 4722
2400; 4724
2400; 5408
2400; 5096
2400; 4718
2400; 5322
2400; 4754
2400; 4736
2400; 4616
2400; 5306
2400; 5492
2400; 4665
2400; 5153
2400; 5402
2400; 5133
2400; 4971
2400; 4975
2400; 5662
2400; 4586
2400; 5040
2400; 4859
2400; 4971
2400; 4667
2400; 4506
2400; 4415
2400; 4374
2400; 4344
2400; 4801
2400; 5046
2400; 4565
2400; 4940
2400; 4601
2400; 5481
2400; 5415
2400; 5204
2400; 5085
2400; 5262
2400; 5024
2400; 4972
2400; 5100
2400; 5074
2400; 4907
2400; 5056
2400; 5218
2400; 5370
2400; 5142
2400; 4818
2400; 4754
2400; 5483
2400; 4614
2400; 4662
2400; 4388
2400; 5212
2400; 4700
2400; 4802
2400; 4766
2400; 4572
2400; 4538
2400; 4732
2400; 4876
2400; 4438
2400; 4653
2400; 4750
2400; 5521
2400; 4715
2400; 4617
2400; 4993
2400; 4926
2400; 5170
2400; 5081
2400; 5030
2400; 5362
2400; 4903
2400; 4862
2400; 5319
2400; 4786
2400; 4915
